order_id,order_date,region,state,customer_segment,product_category,product_name,sales,quantity,discount,profit
ORD-1001,2025-01-05,NSW,New South Wales,Consumer,Technology,Laptop Stand,240,3,0.05,54
ORD-1002,2025-01-07,VIC,Victoria,Corporate,Furniture,Office Chair,680,4,0.10,95
ORD-1003,2025-01-10,QLD,Queensland,Consumer,Office Supplies,Printer Paper,120,10,0.00,32
ORD-1004,2025-01-14,NSW,New South Wales,Small Business,Technology,Wireless Mouse,310,8,0.05,74
ORD-1005,2025-01-18,WA,Western Australia,Corporate,Furniture,Standing Desk,1250,5,0.15,210
ORD-1006,2025-02-02,VIC,Victoria,Consumer,Technology,USB-C Hub,450,9,0.05,118
ORD-1007,2025-02-06,SA,South Australia,Small Business,Office Supplies,Notebook Pack,95,12,0.00,25
ORD-1008,2025-02-11,NSW,New South Wales,Corporate,Technology,Monitor,980,4,0.10,160
ORD-1009,2025-02-17,QLD,Queensland,Consumer,Furniture,Bookshelf,520,2,0.10,68
ORD-1010,2025-02-21,VIC,Victoria,Small Business,Office Supplies,Desk Organiser,150,6,0.00,44
ORD-1011,2025-03-04,WA,Western Australia,Consumer,Technology,Keyboard,360,6,0.05,86
ORD-1012,2025-03-08,NSW,New South Wales,Corporate,Furniture,Meeting Table,1450,2,0.12,260
ORD-1013,2025-03-13,QLD,Queensland,Small Business,Technology,Webcam,420,7,0.05,100
ORD-1014,2025-03-16,SA,South Australia,Consumer,Office Supplies,Sticky Notes,65,20,0.00,18
ORD-1015,2025-03-22,VIC,Victoria,Corporate,Technology,Docking Station,760,5,0.08,170
ORD-1016,2025-04-02,NSW,New South Wales,Consumer,Furniture,Ergonomic Chair,720,3,0.10,110
ORD-1017,2025-04-05,QLD,Queensland,Corporate,Office Supplies,Ink Cartridge,210,5,0.02,52
ORD-1018,2025-04-09,WA,Western Australia,Small Business,Technology,Tablet,1150,4,0.10,230
ORD-1019,2025-04-15,VIC,Victoria,Consumer,Office Supplies,Folder Set,90,15,0.00,21
ORD-1020,2025-04-19,NSW,New South Wales,Corporate,Technology,Laptop,3200,5,0.07,520
ORD-1021,2025-05-03,SA,South Australia,Consumer,Furniture,Office Desk,610,2,0.12,72
ORD-1022,2025-05-07,QLD,Queensland,Small Business,Technology,Router,540,6,0.05,130
ORD-1023,2025-05-12,VIC,Victoria,Corporate,Office Supplies,Whiteboard,260,3,0.00,65
ORD-1024,2025-05-18,WA,Western Australia,Consumer,Technology,Noise Cancelling Headset,890,5,0.05,195
ORD-1025,2025-05-24,NSW,New South Wales,Small Business,Furniture,Storage Cabinet,780,3,0.10,118
ORD-1026,2025-06-02,VIC,Victoria,Consumer,Technology,Portable Monitor,670,3,0.08,125
ORD-1027,2025-06-06,QLD,Queensland,Corporate,Furniture,Reception Chair,980,4,0.15,140
ORD-1028,2025-06-12,SA,South Australia,Small Business,Office Supplies,Envelope Box,80,10,0.00,20
ORD-1029,2025-06-17,NSW,New South Wales,Consumer,Technology,Smart Speaker,330,6,0.05,78
ORD-1030,2025-06-21,WA,Western Australia,Corporate,Technology,Business Laptop,4100,6,0.06,690
ORD-1031,2025-07-03,VIC,Victoria,Small Business,Office Supplies,Labels,110,22,0.00,28
ORD-1032,2025-07-08,NSW,New South Wales,Corporate,Furniture,Executive Desk,1500,3,0.10,260
ORD-1033,2025-07-14,QLD,Queensland,Consumer,Technology,Wireless Keyboard,390,7,0.04,98
ORD-1034,2025-07-20,SA,South Australia,Corporate,Office Supplies,Presentation Folder,145,18,0.00,39
ORD-1035,2025-07-25,WA,Western Australia,Small Business,Technology,Barcode Scanner,730,4,0.05,168
ORD-1036,2025-08-03,NSW,New South Wales,Consumer,Office Supplies,Printer Ink,180,4,0.00,42
ORD-1037,2025-08-07,VIC,Victoria,Corporate,Technology,Conference Camera,1250,3,0.08,265
ORD-1038,2025-08-13,QLD,Queensland,Small Business,Furniture,Office Lounge,1180,2,0.12,190
ORD-1039,2025-08-18,SA,South Australia,Consumer,Technology,Bluetooth Keyboard,260,5,0.05,64
ORD-1040,2025-08-22,WA,Western Australia,Corporate,Office Supplies,Printer Paper Bulk,340,30,0.00,92
